'node020' , '2' , 'c' , '13' , '39' , '40' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node019' , '2' , 'c' , '13' , '37' , '38' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node018' , '2' , 'c' , '13' , '35' , '36' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node017' , '2' , 'c' , '13' , '33' , '34' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node016' , '2' , 'c' , '13' , '31' , '32' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node015' , '2' , 'c' , '13' , '29' , '30' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node014' , '2' , 'c' , '13' , '27' , '28' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node013' , '2' , 'c' , '13' , '25' , '26' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node012' , '2' , 'c' , '13' , '23' , '24' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node011' , '2' , 'c' , '13' , '21' , '22' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node010' , '2' , 'c' , '13' , '19' , '20' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node009' , '2' , 'c' , '13' , '17' , '18' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node008' , '2' , 'c' , '13' , '15' , '16' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node007' , '2' , 'c' , '13' , '13' , '14' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node006' , '2' , 'c' , '13' , '11' , '12' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node005' , '2' , 'c' , '13' , '09' , '10' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node004' , '2' , 'c' , '13' , '07' , '08' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node003' , '2' , 'c' , '13' , '05' , '06' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node002' , '2' , 'c' , '13' , '03' , '04' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'node001' , '2' , 'c' , '13' , '01' , '02' , 'Dell R815' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
